participant,trial_num,trial_type,emotion,framing,peer,risk_level,FinancialDecisionResp.keys,FinancialDecisionResp.rt
31,16,peer,Neutral,Gain,Absent,High,2,1.1341
31,22,peer,Neutral,Loss,Absent,High,2,0.9996
31,33,framing,Neutral,Gain,Absent,High,2,0.9178
31,40,framing,Neutral,Loss,Absent,Low,2,2.5849
31,2,emotion,Negative,Neutral,Absent,High,1,9.042
31,24,peer,Neutral,Gain,Absent,Low,2,8.2394
31,21,peer,Neutral,Loss,Present,High,2,4.0147
31,18,peer,Neutral,Loss,Absent,Low,2,2.7295
31,5,emotion,Negative,Neutral,Absent,Low,1,1.9554
31,34,framing,Neutral,Loss,Absent,High,2,0.8178
31,4,emotion,Positive,Neutral,Absent,High,2,0.918
31,12,peer,Neutral,Gain,Absent,Low,2,0.7086
31,36,framing,Neutral,Loss,Absent,Low,2,0.4688
31,23,peer,Neutral,Gain,Present,Low,2,0.7397
31,9,emotion,Neutral,Neutral,Absent,Low,2,0.39
31,17,peer,Neutral,Loss,Present,Low,2,0.3145
31,13,peer,Neutral,Loss,Present,High,2,0.8701
31,32,framing,Neutral,Loss,Absent,Low,2,0.9117
31,6,emotion,Neutral,Neutral,Absent,High,2,0.0832
31,7,emotion,Positive,Neutral,Absent,Low,2,1.1494
31,3,emotion,Neutral,Neutral,Absent,Low,2,0.5054
31,31,framing,Neutral,Gain,Absent,Low,2,1.9164
31,1,emotion,Positive,Neutral,Absent,Low,1,2.1214
31,20,peer,Neutral,Gain,Absent,Low,2,0.3689
31,14,peer,Neutral,Loss,Absent,High,2,1.1051
31,39,framing,Neutral,Gain,Absent,Low,2,0.404
31,10,emotion,Positive,Neutral,Absent,High,1,0.8515
31,25,peer,Neutral,Loss,Present,High,2,0.3255
31,35,framing,Neutral,Gain,Absent,Low,1,2.3414
31,11,peer,Neutral,Gain,Present,Low,2,3.5114
31,38,framing,Neutral,Loss,Absent,High,1,0.39
31,29,peer,Neutral,Loss,Present,Low,2,2.417
31,15,peer,Neutral,Gain,Present,High,2,2.5262
32,30,peer,Neutral,Loss,Absent,Low,2,15.7825
32,33,framing,Neutral,Gain,Absent,High,2,31.013
32,26,peer,Neutral,Loss,Absent,High,2,4.1757
32,32,framing,Neutral,Loss,Absent,Low,2,5.9175
32,38,framing,Neutral,Loss,Absent,High,2,17.831
32,28,peer,Neutral,Gain,Absent,High,2,0.5687
32,34,framing,Neutral,Loss,Absent,High,2,5.2525
32,35,framing,Neutral,Gain,Absent,Low,2,6.1906
32,29,peer,Neutral,Loss,Present,Low,1,15.9214
32,1,emotion,Positive,Neutral,Absent,Low,2,4.6359
32,15,peer,Neutral,Gain,Present,High,2,6.4081
32,16,peer,Neutral,Gain,Absent,High,2,1.7506
32,40,framing,Neutral,Loss,Absent,Low,2,2.0474
32,25,peer,Neutral,Loss,Present,High,2,4.5525
32,6,emotion,Neutral,Neutral,Absent,High,2,8.0336
32,37,framing,Neutral,Gain,Absent,High,2,6.4331
32,27,peer,Neutral,Gain,Present,High,2,6.3857
32,7,emotion,Positive,Neutral,Absent,Low,2,2.4304
32,2,emotion,Negative,Neutral,Absent,High,2,1.3948
32,23,peer,Neutral,Gain,Present,Low,2,2.2443
32,8,emotion,Negative,Neutral,Absent,High,2,2.0028
32,11,peer,Neutral,Gain,Present,Low,2,13.7846
32,21,peer,Neutral,Loss,Present,High,2,0.0489
32,4,emotion,Positive,Neutral,Absent,High,2,14.4496
32,31,framing,Neutral,Gain,Absent,Low,2,0.4839
